ORDERDATE,SALES,QUANTITYORDERED,COUNTRY,PRODUCTLINE,PRICEEACH,ADDRESSLINE1,CITY,STATE,CUSTOMERNAME,POSTALCODE,PHONE,TOTAL_REVENUE
9/5/2003 0:00,3230.37,33,USA,Classic Cars,97.89,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,3230.37
11/20/2003 0:00,3544.56,27,USA,Classic Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2700
11/4/2004 0:00,2984.88,24,USA,Classic Cars,100,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,2400
11/15/2004 0:00,2524.86,39,USA,Classic Cars,64.74,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2524.8599999999997
3/26/2003 0:00,4916.66,49,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4900
7/24/2003 0:00,4181.44,32,USA,Trucks and Buses,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,3200
11/6/2003 0:00,4480.32,48,Australia,Trucks and Buses,93.34,31 Duncan St. West End,South Brisbane,Queensland,"Australian Gift Network, Co",4101,61-7-3844-6555,4480.32
11/13/2003 0:00,2033.64,21,USA,Trucks and Buses,96.84,782 First Street,Philadelphia,PA,"Classic Gift Ideas, Inc",71270,2155554695,2033.64
12/5/2003 0:00,3966.78,34,Canada,Trucks and Buses,100,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,3400
1/29/2004 0:00,5152,46,USA,Trucks and Buses,100,3675 Furth Circle,Burbank,CA,West Coast Collectables Co.,94019,3105553722,4600
3/10/2004 0:00,3360,32,USA,Trucks and Buses,100,4658 Baden Av.,Cambridge,MA,Cambridge Collectables Co.,51247,6175555555,3200
5/4/2004 0:00,3451,29,USA,Trucks and Buses,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,2900
6/15/2004 0:00,5453,41,Japan,Trucks and Buses,100,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,4100
7/19/2004 0:00,4164.12,43,Australia,Trucks and Buses,96.84,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,4164.12
10/21/2004 0:00,4181.44,32,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3200
11/4/2004 0:00,2251.04,22,USA,Trucks and Buses,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2200
11/29/2004 0:00,2083.2,42,Australia,Trucks and Buses,49.6,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,2083.2000000000003
12/10/2004 0:00,3822,39,USA,Trucks and Buses,98,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3822
1/20/2005 0:00,3911.49,27,Australia,Trucks and Buses,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2700
3/9/2005 0:00,2467.9,29,Australia,Trucks and Buses,85.1,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2467.8999999999996
5/1/2005 0:00,3213,27,Canada,Trucks and Buses,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,2700
3/10/2003 0:00,4379.18,26,USA,Classic Cars,100,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,2600
9/11/2003 0:00,2702.04,23,Australia,Classic Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2300
11/5/2003 0:00,4508,35,Canada,Classic Cars,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,3500
11/20/2003 0:00,3300.66,22,USA,Classic Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2200
12/2/2003 0:00,6182.4,42,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4200
4/13/2004 0:00,5628.89,41,Japan,Classic Cars,100,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Osaka Souveniers Co.,530-0003,+81 06 6342 5555,4100
8/6/2004 0:00,4667.86,34,USA,Classic Cars,100,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,3400
11/4/2004 0:00,5803.14,41,USA,Classic Cars,100,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,4100
11/17/2004 0:00,6434.02,46,USA,Classic Cars,100,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,4600
11/24/2004 0:00,6454.4,40,Australia,Classic Cars,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,4000
1/7/2005 0:00,2611.8,30,USA,Classic Cars,87.06,4575 Hillside Dr.,New Bedford,MA,Mini Creations Ltd.,50553,5085559555,2611.8
3/4/2005 0:00,3375.72,36,USA,Classic Cars,93.77,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3375.72
1/10/2003 0:00,4808.31,39,USA,Vintage Cars,100,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,3900
5/21/2003 0:00,3254.72,32,Australia,Vintage Cars,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,3200
7/16/2003 0:00,3184.94,31,Australia,Vintage Cars,100,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,3100
9/12/2003 0:00,5907.5,50,USA,Vintage Cars,100,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,5000
11/12/2003 0:00,2183.25,25,USA,Vintage Cars,87.33,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2183.25
11/21/2003 0:00,3106.88,28,Australia,Vintage Cars,100,7 Allen Street,Glen Waverly,Victoria,"Australian Collectables, Ltd",3150,61-9-3844-6555,2800
1/29/2004 0:00,2413.26,27,USA,Vintage Cars,89.38,3675 Furth Circle,Burbank,CA,West Coast Collectables Co.,94019,3105553722,2413.2599999999998
10/21/2004 0:00,3843.34,43,USA,Vintage Cars,89.38,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3843.3399999999997
11/4/2004 0:00,3710.9,43,USA,Vintage Cars,86.3,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,3710.9
11/29/2004 0:00,1516.62,42,USA,Vintage Cars,36.11,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,1516.62
1/20/2005 0:00,9240.44,44,USA,Vintage Cars,100,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,4400
3/9/2005 0:00,5548.9,35,Australia,Vintage Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,3500
5/30/2005 0:00,4873.05,51,USA,Vintage Cars,95.55,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,4873.05
1/10/2003 0:00,2055.74,41,USA,Vintage Cars,50.14,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,2055.7400000000002
7/16/2003 0:00,2113.37,49,Australia,Vintage Cars,43.13,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,2113.3700000000003
9/12/2003 0:00,1746.6,30,USA,Vintage Cars,58.22,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,1746.6
11/12/2003 0:00,1742.4,32,USA,Vintage Cars,54.45,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1742.4
11/21/2003 0:00,2455.02,46,Australia,Vintage Cars,53.37,7 Allen Street,Glen Waverly,Victoria,"Australian Collectables, Ltd",3150,61-9-3844-6555,2455.02
1/29/2004 0:00,1423.29,33,USA,Vintage Cars,43.13,3675 Furth Circle,Burbank,CA,West Coast Collectables Co.,94019,3105553722,1423.2900000000002
10/21/2004 0:00,1105.25,25,USA,Vintage Cars,44.21,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1105.25
11/4/2004 0:00,2364.88,41,USA,Vintage Cars,57.68,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2364.88
11/29/2004 0:00,1237.95,21,Australia,Vintage Cars,58.95,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,1237.95
1/20/2005 0:00,3156.16,32,USA,Vintage Cars,98.63,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,3156.16
3/9/2005 0:00,4998,42,Australia,Vintage Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,4200
5/30/2005 0:00,1293.75,25,USA,Vintage Cars,51.75,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,1293.75
9/11/2003 0:00,5848.68,47,Australia,Classic Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,4700
11/5/2003 0:00,4965.24,42,USA,Classic Cars,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,4200
11/20/2003 0:00,4258.36,29,USA,Classic Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2900
12/2/2003 0:00,4032,40,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4000
2/26/2004 0:00,4161.38,38,USA,Classic Cars,100,361 Furth Circle,San Diego,CA,Collectable Mini Designs Co.,91217,7605558146,3800
8/6/2004 0:00,2604.52,23,USA,Classic Cars,100,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,2300
11/4/2004 0:00,4489.76,44,USA,Classic Cars,100,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,4400
11/17/2004 0:00,4849.24,44,USA,Classic Cars,100,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,4400
1/12/2005 0:00,2758.7,49,USA,Classic Cars,56.3,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,2758.7
4/22/2005 0:00,7048.14,59,USA,Classic Cars,100,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,5900
6/16/2003 0:00,2781.66,21,USA,Planes,100,2440 Pompton St.,Glendale,CT,Gift Ideas Corp.,97561,2035554407,2100
8/10/2003 0:00,5248,32,USA,Planes,100,4575 Hillside Dr.,New Bedford,MA,Mini Creations Ltd.,50553,5085559555,3200
1/12/2004 0:00,5719.5,31,Japan,Planes,100,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Osaka Souveniers Co.,530-0003,+81 06 6342 5555,3100
2/19/2004 0:00,6954.08,49,USA,Planes,100,361 Furth Circle,San Diego,CA,Collectable Mini Designs Co.,91217,7605558146,4900
5/11/2004 0:00,8160.3,45,USA,Planes,100,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,4500
7/21/2004 0:00,6724,41,USA,Planes,100,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,4100
10/14/2004 0:00,7379.97,39,USA,Planes,100,782 First Street,Philadelphia,PA,"Classic Gift Ideas, Inc",71270,2155554695,3900
11/1/2004 0:00,3704.13,27,UK,Planes,100,Garden House Crowther Way,Cowes,Isle of Wight,giftsbymail.co.uk,PO31 7PJ,(198) 555-8888,2700
4/1/2005 0:00,6433.82,34,USA,Planes,100,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,3400
1/6/2003 0:00,5151,30,USA,Vintage Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,3000
5/21/2003 0:00,2856,21,USA,Vintage Cars,100,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,2100
9/12/2003 0:00,5375.4,34,USA,Vintage Cars,100,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,3400
11/12/2003 0:00,7554.8,44,USA,Vintage Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4400
11/21/2003 0:00,3141.6,21,Australia,Vintage Cars,100,7 Allen Street,Glen Waverly,Victoria,"Australian Collectables, Ltd",3150,61-9-3844-6555,2100
12/2/2003 0:00,5890.5,33,USA,Vintage Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,3300
10/21/2004 0:00,8078.4,48,USA,Vintage Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4800
11/17/2004 0:00,3257.76,44,USA,Vintage Cars,74.04,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,3257.76
1/12/2005 0:00,4703.81,37,USA,Vintage Cars,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,3700
4/22/2005 0:00,14082.8,76,USA,Vintage Cars,100,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,7600
5/29/2005 0:00,5283.6,37,Australia,Vintage Cars,100,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,3700
7/2/2003 0:00,3806.88,48,USA,Classic Cars,79.31,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3806.88
9/5/2003 0:00,2142.14,26,USA,Classic Cars,82.39,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,2142.14
11/20/2003 0:00,4088.7,45,USA,Classic Cars,90.86,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,4088.7
8/6/2004 0:00,2634.94,29,USA,Classic Cars,90.86,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,2634.94
11/4/2004 0:00,2905.98,37,USA,Classic Cars,78.54,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,2905.98
11/15/2004 0:00,2954.81,29,USA,Classic Cars,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2900
11/24/2004 0:00,3599.75,55,Australia,Classic Cars,65.45,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,3599.75
3/10/2003 0:00,4432.7,38,USA,Classic Cars,100,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,3800
9/11/2003 0:00,4232,25,Australia,Classic Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2500
11/5/2003 0:00,4680.2,35,Canada,Classic Cars,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,3500
11/20/2003 0:00,7421.3,47,USA,Classic Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,4700
12/2/2003 0:00,6432.64,38,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,3800
2/26/2004 0:00,3892.08,24,USA,Classic Cars,100,361 Furth Circle,San Diego,CA,Collectable Mini Designs Co.,91217,7605558146,2400
4/13/2004 0:00,5526.32,37,Japan,Classic Cars,100,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Osaka Souveniers Co.,530-0003,+81 06 6342 5555,3700
8/6/2004 0:00,3754.05,29,USA,Classic Cars,100,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,2900
11/4/2004 0:00,3734,25,USA,Classic Cars,100,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,2500
11/17/2004 0:00,974.1,30,USA,Classic Cars,32.47,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,974.0999999999999
11/24/2004 0:00,3160.74,22,Australia,Classic Cars,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,2200
3/4/2005 0:00,1463.7,34,USA,Classic Cars,43.05,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1463.6999999999998
4/4/2003 0:00,7381.16,46,USA,Classic Cars,100,5905 Pompton St.,NYC,NY,Classic Legends Inc.,10022,2125558493,4600
6/3/2003 0:00,7146.9,45,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4500
11/25/2003 0:00,5128.11,27,USA,Classic Cars,100,3758 North Pendale Street,White Plains,NY,Mini Classics,24067,9145554562,2700
12/9/2003 0:00,7060.24,44,USA,Classic Cars,100,6251 Ingle Ln.,Boston,MA,Diecast Collectables,51003,6175552555,4400
2/10/2004 0:00,8448.64,43,USA,Classic Cars,100,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,4300
7/20/2004 0:00,9169,50,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,5000
8/20/2004 0:00,3238.63,23,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2300
9/8/2004 0:00,4554.94,26,USA,Classic Cars,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2600
10/13/2004 0:00,3934.44,27,USA,Classic Cars,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,2700
11/5/2004 0:00,7207.45,47,USA,Classic Cars,100,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,4700
12/1/2004 0:00,6719.54,38,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,3800
1/23/2005 0:00,2602.25,25,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2500
2/17/2005 0:00,2200,25,USA,Classic Cars,88,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2200
1/6/2003 0:00,3390,50,USA,Vintage Cars,67.8,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,3390
5/21/2003 0:00,2262.96,42,USA,Vintage Cars,53.88,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,2262.96
9/12/2003 0:00,1496.64,24,USA,Vintage Cars,62.36,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,1496.6399999999999
11/12/2003 0:00,2323.7,38,USA,Vintage Cars,61.15,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2323.7
11/21/2003 0:00,2491.86,42,Australia,Vintage Cars,59.33,7 Allen Street,Glen Waverly,Victoria,"Australian Collectables, Ltd",3150,61-9-3844-6555,2491.86
12/2/2003 0:00,1643.12,23,USA,Vintage Cars,71.44,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,1643.12
10/21/2004 0:00,1834.5,30,USA,Vintage Cars,61.15,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1834.5
1/12/2005 0:00,8884.8,45,USA,Vintage Cars,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,4500
4/22/2005 0:00,3051.3,42,USA,Vintage Cars,72.65,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,3051.3
5/29/2005 0:00,2288.52,36,Australia,Vintage Cars,63.57,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,2288.52
6/3/2003 0:00,6295.95,45,USA,Trucks and Buses,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4500
11/25/2003 0:00,3608.15,35,USA,Trucks and Buses,100,3758 North Pendale Street,White Plains,NY,Mini Classics,24067,9145554562,3500
12/9/2003 0:00,5752.54,43,USA,Trucks and Buses,100,6251 Ingle Ln.,Boston,MA,Diecast Collectables,51003,6175552555,4300
3/11/2004 0:00,3765.32,26,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2600
7/20/2004 0:00,5093.5,50,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,5000
8/19/2004 0:00,5773.44,48,USA,Trucks and Buses,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,4800
9/8/2004 0:00,4528.86,41,USA,Trucks and Buses,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,4100
10/13/2004 0:00,4816.08,36,USA,Trucks and Buses,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,3600
10/22/2004 0:00,3416.78,29,Canada,Trucks and Buses,100,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,2900
11/5/2004 0:00,1236.84,33,USA,Trucks and Buses,37.48,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,1236.84
12/1/2004 0:00,5223.48,38,USA,Trucks and Buses,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,3800
1/20/2005 0:00,3949,22,Australia,Trucks and Buses,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2200
5/21/2003 0:00,4431.84,42,USA,Vintage Cars,100,8489 Strong St.,Las Vegas,NV,Signal Gift Stores,83030,7025551838,4200
9/12/2003 0:00,4950.33,33,USA,Vintage Cars,100,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,3300
11/12/2003 0:00,2212,20,USA,Vintage Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2000
11/21/2003 0:00,4642.88,44,Australia,Vintage Cars,100,7 Allen Street,Glen Waverly,Victoria,"Australian Collectables, Ltd",3150,61-9-3844-6555,4400
12/2/2003 0:00,3206.32,26,USA,Vintage Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,2600
4/26/2004 0:00,6154.18,47,USA,Vintage Cars,100,6251 Ingle Ln.,Boston,MA,Diecast Collectables,51003,6175552555,4700
10/21/2004 0:00,4729.36,31,USA,Vintage Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3100
11/4/2004 0:00,12536.5,50,USA,Vintage Cars,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,5000
1/12/2005 0:00,4196.07,27,USA,Vintage Cars,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,2700
3/4/2005 0:00,3068.69,31,USA,Vintage Cars,98.99,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3068.69
5/29/2005 0:00,4977,45,Australia,Vintage Cars,100,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,4500
7/24/2003 0:00,2851.54,46,USA,Trucks and Buses,61.99,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,2851.54
12/9/2003 0:00,2585.93,37,USA,Trucks and Buses,69.89,6251 Ingle Ln.,Boston,MA,Diecast Collectables,51003,6175552555,2585.93
3/11/2004 0:00,1667.4,28,USA,Trucks and Buses,59.55,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1667.3999999999999
7/20/2004 0:00,1732,25,USA,Trucks and Buses,69.28,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1732
8/19/2004 0:00,1674.17,29,USA,Trucks and Buses,57.73,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,1674.1699999999998
10/13/2004 0:00,2192.68,41,USA,Trucks and Buses,53.48,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,2192.68
10/22/2004 0:00,1797.58,34,Canada,Trucks and Buses,52.87,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,1797.58
11/4/2004 0:00,2142.35,35,USA,Trucks and Buses,61.21,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2142.35
11/29/2004 0:00,6834.5,50,Australia,Trucks and Buses,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,5000
12/10/2004 0:00,2541.59,41,USA,Trucks and Buses,61.99,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2541.59
1/20/2005 0:00,2130.92,22,Australia,Trucks and Buses,96.86,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2130.92
3/9/2005 0:00,1694,44,Australia,Trucks and Buses,38.5,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,1694
4/29/2003 0:00,2082.49,29,Australia,Planes,71.81,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,2082.4900000000002
8/25/2003 0:00,2559.6,30,USA,Planes,85.32,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,2559.6
10/28/2003 0:00,1490.16,21,USA,Planes,70.96,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,1490.1599999999999
1/12/2004 0:00,3844,50,Japan,Planes,76.88,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Osaka Souveniers Co.,530-0003,+81 06 6342 5555,3844
2/20/2004 0:00,4724.91,47,Australia,Planes,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,4700
4/2/2004 0:00,1824.72,24,Canada,Planes,76.03,23 Tsawassen Blvd.,Tsawassen,BC,"Royal Canadian Collectables, Ltd.",T2F 8M4,(604) 555-4555,1824.72
5/11/2004 0:00,2668.68,27,USA,Planes,98.84,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,2668.6800000000003
6/28/2004 0:00,2843.61,33,USA,Planes,86.17,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,2843.61
10/15/2004 0:00,2235.33,27,USA,Planes,82.79,3758 North Pendale Street,White Plains,NY,Mini Classics,24067,9145554562,2235.3300000000004
11/2/2004 0:00,3116.43,31,USA,Planes,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,3100
11/23/2004 0:00,2810.7,27,Japan,Planes,100,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,2700
12/4/2004 0:00,3515.67,27,USA,Planes,100,2440 Pompton St.,Glendale,CT,Gift Ideas Corp.,97561,2035554407,2700
